GEO_ID,NAME,P1_001N
1500000US421010030013,"Block Group 3, Census Tract 30.01, Philadelphia County, Pennsylvania",998
1500000US421010030014,"Block Group 4, Census Tract 30.01, Philadelphia County, Pennsylvania",1073
1500000US421010030015,"Block Group 5, Census Tract 30.01, Philadelphia County, Pennsylvania",616
1500000US421010030021,"Block Group 1, Census Tract 30.02, Philadelphia County, Pennsylvania",928
1500000US421010030022,"Block Group 2, Census Tract 30.02, Philadelphia County, Pennsylvania",836
1500000US421010030023,"Block Group 3, Census Tract 30.02, Philadelphia County, Pennsylvania",855
1500000US421010030024,"Block Group 4, Census Tract 30.02, Philadelphia County, Pennsylvania",910
1500000US421010031001,"Block Group 1, Census Tract 31, Philadelphia County, Pennsylvania",1382
1500000US421010031002,"Block Group 2, Census Tract 31, Philadelphia County, Pennsylvania",592
1500000US421010031003,"Block Group 3, Census Tract 31, Philadelphia County, Pennsylvania",595
1500000US421010031004,"Block Group 4, Census Tract 31, Philadelphia County, Pennsylvania",887
1500000US421010031005,"Block Group 5, Census Tract 31, Philadelphia County, Pennsylvania",960
1500000US421010031006,"Block Group 6, Census Tract 31, Philadelphia County, Pennsylvania",673
1500000US421010032001,"Block Group 1, Census Tract 32, Philadelphia County, Pennsylvania",795
1500000US421010032002,"Block Group 2, Census Tract 32, Philadelphia County, Pennsylvania",555
1500000US421010032003,"Block Group 3, Census Tract 32, Philadelphia County, Pennsylvania",967
1500000US421010032004,"Block Group 4, Census Tract 32, Philadelphia County, Pennsylvania",885
1500000US421010032005,"Block Group 5, Census Tract 32, Philadelphia County, Pennsylvania",475
1500000US421010032006,"Block Group 6, Census Tract 32, Philadelphia County, Pennsylvania",834
1500000US421010033001,"Block Group 1, Census Tract 33, Philadelphia County, Pennsylvania",1776
1500000US421010033002,"Block Group 2, Census Tract 33, Philadelphia County, Pennsylvania",664
1500000US421010033003,"Block Group 3, Census Tract 33, Philadelphia County, Pennsylvania",738
1500000US421010033004,"Block Group 4, Census Tract 33, Philadelphia County, Pennsylvania",1169
1500000US421010033005,"Block Group 5, Census Tract 33, Philadelphia County, Pennsylvania",998
1500000US421010033006,"Block Group 6, Census Tract 33, Philadelphia County, Pennsylvania",962
